WO,WD,LO,LD,Score,Date
eric,eric,max,max,2,12/2/2019
eric,eric,paul,paul,2,12/2/2019
eric,eric,max,max,4,12/2/2019
eric,eric,andonian,andonian,5,12/3/2019
andonian,andonian,eric,eric,7,12/3/2019
andonian,andonian,eric,eric,3,12/3/2019
andonian,max,eric,paul,9,12/3/2019
paul,eric,max,andonian,2,12/3/2019
paul,eric,andonian,max,8,12/3/2019
river,nate,lawler,max,2,12/3/2019
nate,river,max,lawler,6,12/3/2019
eric,andy,river,nate,9,12/3/2019
nate,river,andy,eric,8,12/3/2019
eric,andy,nate,river,3,12/3/2019
andonian,krish,andy,josh,9,12/3/2019
josh,andy,krish,andonian,8,12/3/2019
josh,andy,andonian,krish,8,12/3/2019
andonian,andy,river,max,3,12/3/2019
andy,andonian,max,river,7,12/3/2019
eric,krish,max,andy,9,12/4/2019
andy,max,krish,eric,3,12/4/2019
andy,max,eric,krish,3,12/4/2019
eric,andy,max,krish,2,12/4/2019
andy,eric,krish,max,5,12/4/2019
krish,andy,max,river,1,12/4/2019
andy,krish,river,max,6,12/4/2019
river,river,eric,eric,3,12/4/2019
eric,eric,river,river,4,12/4/2019
eric,eric,river,river,3,12/4/2019
river,river,max,max,6,12/4/2019
river,river,lawler,lawler,7,12/4/2019
river,river,lawler,lawler,8,12/4/2019
eric,eric,river,river,7,12/4/2019
eric,eric,river,river,9,12/4/2019
lawler,lawler,river,river,6,12/4/2019
lawler,lawler,river,river,8,12/4/2019
eric,lawler,max,river,6,12/4/2019
lawler,eric,river,max,5,12/4/2019
lawler,eric,max,river,7,12/4/2019
eric,lawler,river,max,6,12/4/2019
eric,eric,max,max,2,12/4/2019
eric,eric,max,max,1,12/4/2019
river,josh,VOID,krish,8,12/5/2019
josh,river,krish,VOID,3,12/5/2019
josh,nate,river,lawler,9,12/5/2019
lawler,river,nate,josh,4,12/5/2019
lawler,river,josh,nate,4,12/5/2019
max,andy,river,lawler,4,12/5/2019
lawler,river,andy,max,6,12/5/2019
max,andy,lawler,river,8,12/5/2019
eric,eric,eddie,eddie,7,12/5/2019
eddie,eddie,eric,eric,6,12/5/2019
eric,eric,eddie,eddie,4,12/5/2019
paul,nate,river,krish,9,12/5/2019
nate,paul,krish,river,9,12/5/2019
max,nate,jacob,krish,3,12/5/2019
krish,jacob,nate,max,7,12/5/2019
max,nate,krish,jacob,5,12/5/2019
nate,river,jacob,max,6,12/5/2019
eric,eric,krish,krish,5,12/5/2019
river,river,max,max,8,12/5/2019
river,river,max,max,3,12/5/2019
josh,lawler,river,max,8,12/9/2019
lawler,josh,max,river,7,12/9/2019
andy,lawler,josh,river,9,12/9/2019
lawler,andy,river,josh,3,12/9/2019
lawler,andy,josh,krish,3,12/9/2019
andy,lawler,krish,josh,8,12/9/2019
nate,river,lawler,krish,9,12/9/2019
paul,paul,max,max,5,12/10/2019
amir,andy,paul,max,0,12/10/2019
andy,amir,max,paul,8,12/10/2019
kristian,andy,max,jordan,4,12/10/2019
andy,kristian,jordan,max,4,12/10/2019
victor,andy,river,nate,7,12/10/2019
nate,river,andy,paul,7,12/10/2019
paul,andy,river,nate,9,12/10/2019
paul,andy,nate,river,3,12/10/2019
max,andy,eric,river,8,12/11/2019
andy,max,river,eric,9,12/11/2019
max,andy,river,eric,3,12/11/2019
andy,max,eric,river,4,12/11/2019
andy,andy,eric,eric,3,12/11/2019
andy,andy,eric,eric,6,12/11/2019
victor,andy,eric,lawler,6,12/11/2019
andy,victor,lawler,eric,5,12/11/2019
andy,victor,eric,lawler,5,12/11/2019
lawler,lawler,eric,eric,4,12/11/2019
eric,eric,lawler,lawler,7,12/11/2019
josh,nate,andy,max,6,12/12/2019
max,andy,nate,josh,4,12/12/2019
max,andy,josh,nate,2,12/12/2019
andy,max,nate,josh,7,12/12/2019
max,andy,josh,nate,3,12/12/2019
andy,lawler,max,river,6,12/12/2019
lawler,andy,river,max,5,12/12/2019
lawler,andy,river,nate,9,12/12/2019
andy,lawler,nate,river,8,12/12/2019
river,nate,andy,lawler,8,12/12/2019
lawler,andy,nate,river,8,12/12/2019
lawler,andy,river,nate,7,12/12/2019
andy,josh,nate,river,8,12/13/2019
river,nate,josh,andy,8,12/13/2019
andy,josh,river,nate,5,12/13/2019
victor,andy,river,josh,8,12/13/2019
andy,victor,josh,river,9,12/13/2019
paul,eric,andy,victor,7,12/13/2019
victor,andy,eric,paul,4,12/13/2019
victor,andy,paul,eric,7,12/13/2019
pratik,river,victor,josh,9,12/13/2019
josh,victor,river,pratik,8,12/13/2019
josh,victor,pratik,river,4,12/13/2019
eric,eric,andonian,andonian,7,12/18/2019
paul,pietro,andonian,eric,3,12/18/2019
eric,eric,paul,paul,3,12/18/2019
paul,nate,andonian,eric,8,12/18/2019
eric,andonian,nate,paul,9,12/18/2019
paul,nate,eric,andonian,6,12/18/2019
eric,eric,pietro,pietro,5,12/18/2019
eric,eric,VOID,VOID,3,12/18/2019
paul,andy,nate,pietro,7,1/2/2020
eric,andy,paul,pietro,4,1/3/2020
eric,eric,paul,paul,3,1/3/2020
andy,andy,eric,eric,4,1/3/2020
eric,eric,paul,paul,3,1/3/2020
andy,lawler,max,river,4,1/6/2020
lawler,andy,river,max,3,1/6/2020
lawler,river,max,nate,9,1/6/2020
river,lawler,nate,max,6,1/6/2020
andy,andy,max,max,5,1/6/2020
paul,pietro,krish,andy,8,1/6/2020
pratik,river,nate,amir,2,1/7/2020
river,pratik,amir,nate,4,1/7/2020
amir,andy,nate,lawler,8,1/7/2020
lawler,nate,andy,amir,8,1/7/2020
lawler,nate,amir,andy,8,1/7/2020
krish,andy,nate,pietro,6,1/7/2020
krish,andy,river,max,5,1/7/2020
andy,krish,max,river,5,1/7/2020
max,andy,pratik,krish,6,1/8/2020
andy,max,krish,pratik,5,1/8/2020
andy,pratik,max,krish,0,1/8/2020
pratik,andy,krish,max,4,1/8/2020
andy,krish,pratik,max,0,1/8/2020
max,pratik,andy,krish,9,1/8/2020
krish,andy,max,pratik,0,1/8/2020
paul,chad,krish,nate,9,1/9/2020
nate,krish,chad,paul,8,1/9/2020
paul,chad,nate,krish,5,1/9/2020
andy,nate,paul,chad,7,1/9/2020
andy,andy,max,max,3,1/9/2020
jordan,andy,max,pietro,7,1/9/2020
max,krish,river,lawler,7,1/9/2020
lawler,river,krish,max,8,1/9/2020
lawler,river,max,krish,5,1/9/2020
lawler,river,VOID,andy,7,1/10/2020
andy,andy,river,river,0,1/10/2020
andy,andy,river,river,3,1/10/2020
lawler,andy,kristian,max,4,1/10/2020
andy,river,max,kristian,1,1/10/2020
river,andy,kristian,max,1,1/10/2020
pietro,pietro,max,max,5,1/13/2020
river,river,max,max,6,1/13/2020
river,river,max,max,5,1/13/2020
river,river,max,max,5,1/13/2020
river,river,max,max,4,1/13/2020
krish,kunal,kristian,max,5,1/14/2020
kunal,krish,max,kristian,5,1/14/2020
river,josh,sophie,krish,3,1/14/2020
josh,river,krish,sophie,4,1/14/2020
max,josh,krish,river,9,1/14/2020
river,krish,josh,max,8,1/14/2020
max,josh,river,krish,3,1/14/2020
river,krish,josh,pietro,9,1/15/2020
kunal,pietro,krish,josh,9,1/15/2020
river,krish,josh,kunal,4,1/15/2020
krish,river,kunal,josh,4,1/15/2020
krish,river,kunal,josh,4,1/15/2020
river,pratik,victor,max,5,1/15/2020
pratik,river,max,victor,7,1/15/2020
river,river,max,max,4,1/15/2020
river,river,max,max,5,1/15/2020
krish,river,pratik,max,1,1/16/2020
max,krish,pratik,river,4,1/16/2020
krish,max,river,pratik,9,1/16/2020
max,pietro,river,krish,9,1/16/2020
max,max,river,river,8,1/16/2020
river,river,max,max,9,1/16/2020
river,river,pietro,pietro,5,1/16/2020
andonian,victor,josh,krish,8,1/16/2020
krish,josh,victor,andonian,6,1/16/2020
krish,josh,andonian,victor,9,1/17/2020
krish,krish,river,river,2,1/17/2020
krish,krish,river,river,8,1/17/2020
max,pratik,josh,amir,3,1/17/2020
pratik,max,amir,josh,9,1/17/2020
krish,amir,josh,pratik,8,1/17/2020
pratik,josh,krish,amir,7,1/17/2020
pratik,josh,krish,amir,5,1/20/2020
river,amir,josh,victor,6,1/20/2020
josh,pietro,river,krish,2,1/20/2020
andonian,pietro,river,krish,3,1/20/2020
amir,river,victor,josh,6,1/21/2020
river,river,krish,krish,3,1/21/2020
river,river,krish,krish,7,1/21/2020
krish,krish,river,river,9,1/21/2020
max,pratik,josh,amir,7,1/22/2020
josh,amir,max,pratik,9,1/22/2020
max,pratik,josh,amir,8,1/22/2020
river,river,max,max,7,1/22/2020
river,river,max,max,7,1/22/2020
krish,krish,max,max,9,1/23/2020
max,river,victor,krish,1,1/23/2020
river,max,krish,victor,7,1/23/2020
max,max,amir,amir,4,1/23/2020
max,pietro,river,krish,9,1/24/2020
river,max,pratik,krish,7,1/24/2020
river,amir,pratik,victor,6,1/24/2020
amir,river,victor,pratik,6,1/25/2020
river,amir,victor,pratik,2,1/25/2020
amir,river,pratik,victor,8,1/25/2020
river,amir,pratik,victor,3,1/25/2020
river,river,max,max,6,1/26/2020
river,river,max,max,5,1/26/2020
river,river,max,max,9,1/26/2020
river,river,max,max,9,1/26/2020
max,max,river,river,9,1/26/2020
max,max,river,river,9,1/26/2020
pratik,andy,river,max,5,1/27/2020
andy,pratik,max,river,8,1/27/2020
andy,pratik,amir,josh,2,1/27/2020
pratik,andy,josh,amir,1,1/27/2020
river,river,victor,victor,2,1/27/2020
river,river,victor,victor,4,1/27/2020
river,victor,josh,max,6,1/27/2020
victor,river,max,josh,5,1/27/2020
river,josh,max,chad,8,1/27/2020
josh,river,chad,max,1,1/27/2020
river,andy,josh,chad,1,1/27/2020
andy,river,josh,chad,8,1/27/2020
andonian,chad,josh,andy,9,1/27/2020
pratik,josh,kunal,amir,2,1/28/2020
andy,kunal,josh,pratik,4,1/28/2020
victor,andy,pratik,josh,5,1/28/2020
sophie,krish,max,andy,7,1/28/2020
andy,max,krish,sophie,7,1/28/2020
sophie,krish,andy,max,7,1/28/2020
andy,krish,josh,pietro,4,1/28/2020
andonian,josh,victor,river,4,1/28/2020
josh,andonian,river,victor,7,1/28/2020
andonian,josh,river,victor,3,1/28/2020
chad,nate,josh,krish,7,1/28/2020
krish,josh,nate,chad,2,1/28/2020
krish,river,max,josh,7,1/28/2020
victor,river,josh,max,4,1/28/2020
river,river,victor,victor,8,1/28/2020
andy,river,victor,chad,5,1/28/2020
river,andy,chad,victor,3,1/28/2020
river,andy,victor,chad,4,1/28/2020
andy,josh,max,pratik,3,1/29/2020
josh,andy,pratik,max,0,1/29/2020
josh,andy,max,pratik,2,1/29/2020
lawler,andy,nate,chad,1,1/29/2020
andy,lawler,chad,nate,8,1/29/2020
victor,river,andy,lawler,6,1/29/2020
lawler,andy,river,victor,9,1/29/2020
max,krish,river,kristian,9,1/29/2020
krish,max,kristian,river,5,1/29/2020
river,max,victor,krish,4,1/29/2020
max,river,krish,victor,3,1/29/2020
river,river,victor,victor,4,1/29/2020
river,river,victor,victor,1,1/29/2020
andonian,lawler,max,river,6,1/30/2020
lawler,sophie,kunal,igor,1,1/30/2020
sophie,lawler,igor,kunal,4,1/30/2020
sophie,river,josh,pratik,4,1/30/2020
river,sophie,pratik,josh,2,1/30/2020
max,krish,josh,pratik,6,1/30/2020
krish,max,pratik,josh,8,1/30/2020
river,river,max,max,8,1/30/2020
river,river,max,max,7,1/30/2020
paul,chad,lawler,nate,4,1/30/2020
river,river,lawler,lawler,8,1/30/2020
lawler,lawler,river,river,8,1/30/2020
river,river,lawler,lawler,4,1/30/2020
river,chad,josh,andy,9,1/30/2020
river,chad,sophie,krish,3,1/31/2020
josh,andy,sophie,krish,3,1/31/2020
andy,river,krish,krish,7,1/31/2020
lawler,andy,josh,chad,8,1/31/2020
andy,lawler,chad,nate,8,1/31/2020
andy,andy,krish,krish,2,1/31/2020
andy,andy,krish,krish,2,1/31/2020
victor,andy,krish,josh,4,1/31/2020
krish,andy,josh,chad,4,1/31/2020
josh,andy,nate,chad,9,1/31/2020
river,josh,pratik,victor,2,1/31/2020
josh,river,victor,pratik,6,1/31/2020
river,josh,victor,pratik,7,1/31/2020
josh,river,pratik,victor,0,1/31/2020
river,river,victor,victor,7,1/31/2020
river,river,victor,victor,3,1/31/2020
igor,pietro,max,krish,5,2/3/2020
max,krish,river,igor,5,2/3/2020
krish,max,igor,river,4,2/3/2020
river,amir,pratik,victor,2,2/3/2020
amir,river,victor,pratik,8,2/3/2020
amir,river,pratik,victor,5,2/3/2020
river,amir,victor,pratik,5,2/3/2020
river,amir,victor,pratik,5,2/3/2020
sophie,nate,amir,andy,7,2/3/2020
andy,amir,nate,sophie,2,2/3/2020
sophie,nate,andy,amir,4,2/3/2020
andy,andy,max,max,6,2/3/2020
andy,andy,max,max,7,2/3/2020
andy,andy,max,max,1,2/3/2020
river,river,victor,victor,0,2/3/2020
river,river,victor,victor,3,2/3/2020
lawler,lawler,victor,victor,3,2/3/2020
lawler,lawler,river,river,9,2/3/2020
river,river,lawler,lawler,6,2/3/2020
lawler,lawler,river,river,6,2/3/2020
pratik,andy,josh,kunal,0,2/4/2020
andy,pratik,kunal,josh,0,2/4/2020
josh,andy,andonian,pratik,5,2/4/2020
andy,josh,pratik,andonian,7,2/4/2020
andy,max,andonian,pietro,3,2/4/2020
andy,max,andonian,pietro,3,2/4/2020
andy,max,andonian,krish,6,2/4/2020
river,pratik,amir,krish,7,2/4/2020
pratik,river,krish,amir,5,2/4/2020
andy,andy,max,max,7,2/4/2020
andy,andy,max,max,2,2/4/2020
river,victor,josh,lawler,3,2/4/2020
victor,river,lawler,josh,7,2/4/2020
lawler,josh,river,victor,6,2/4/2020
josh,lawler,victor,river,6,2/4/2020
river,river,victor,victor,1,2/4/2020
river,river,victor,victor,0,2/4/2020
amir,max,pratik,victor,8,2/5/2020
victor,pratik,max,amir,3,2/5/2020
amir,max,victor,pratik,7,2/5/2020
amir,andy,pratik,josh,5,2/5/2020
josh,pratik,andy,amir,4,2/5/2020
amir,andy,josh,pratik,5,2/5/2020
andy,andy,max,max,1,2/5/2020
river,river,victor,victor,6,2/5/2020
river,river,victor,victor,1,2/5/2020
river,victor,claire,josh,9,2/5/2020
victor,river,josh,claire,8,2/5/2020
josh,river,paul,nate,4,2/5/2020
nate,paul,river,josh,9,2/5/2020
josh,river,nate,paul,6,2/5/2020
river,river,victor,victor,0,2/6/2020
river,river,victor,victor,1,2/6/2020
paul,kunal,pratik,victor,1,2/6/2020
kunal,paul,victor,pratik,5,2/6/2020
paul,kunal,victor,pratik,8,2/6/2020
krish,nate,river,josh,6,2/6/2020
josh,river,nate,krish,3,2/6/2020
krish,nate,josh,river,6,2/6/2020
max,josh,pratik,nate,8,2/6/2020
josh,max,nate,pratik,4,2/6/2020
river,river,victor,victor,3,2/6/2020
amir,river,victor,pratik,7,2/6/2020
pratik,victor,river,amir,8,2/6/2020
amir,river,pratik,victor,0,2/6/2020
max,andy,river,lawler,6,2/6/2020
lawler,river,andy,max,6,2/6/2020
max,andy,lawler,river,6,2/6/2020
victor,claire,max,krish,9,2/6/2020
krish,max,claire,victor,9,2/6/2020
krish,max,victor,claire,6,2/6/2020
river,river,victor,victor,2,2/7/2020
river,river,victor,victor,4,2/7/2020
amir,river,victor,pratik,1,2/7/2020
river,amir,pratik,victor,0,2/7/2020
river,lawler,pratik,andy,7,2/7/2020
andy,pratik,lawler,river,9,2/7/2020
andy,andy,max,max,1,2/7/2020
andy,andy,max,max,2,2/7/2020
max,max,river,river,9,2/7/2020
river,river,max,max,6,2/7/2020
river,river,max,max,8,2/7/2020
river,river,lawler,lawler,6,2/7/2020
river,river,lawler,lawler,6,2/7/2020
lawler,andy,river,max,2,2/9/2020
andy,lawler,max,river,8,2/9/2020
lawler,andy,max,river,5,2/9/2020
andy,lawler,river,max,5,2/9/2020
andy,max,river,lawler,9,2/9/2020
max,andy,lawler,river,4,2/9/2020
andy,andy,max,max,7,2/9/2020
andy,andy,max,max,3,2/9/2020
max,max,andy,andy,8,2/9/2020
josh,amir,monika,victor,0,2/10/2020
josh,amir,monika,victor,0,2/10/2020
josh,amir,monika,river,9,2/10/2020
river,monika,amir,josh,9,2/10/2020
josh,amir,river,monika,2,2/10/2020
andy,andy,max,max,5,2/10/2020
nate,pietro,paul,andy,8,2/10/2020
nate,josh,monika,river,6,2/10/2020
victor,max,monika,river,6,2/10/2020
victor,max,monika,river,4,2/10/2020
river,krish,sophie,andonian,0,2/11/2020
krish,river,andonian,sophie,4,2/11/2020
pratik,kunal,josh,monika,9,2/11/2020
monika,josh,kunal,pratik,8,2/11/2020
pratik,kunal,monika,josh,7,2/11/2020
paul,nate,max,pietro,7,2/11/2020
river,river,victor,victor,7,2/11/2020
river,river,victor,victor,1,2/11/2020
river,river,igor,igor,2,2/11/2020
river,river,igor,igor,2,2/11/2020
pratik,andy,max,lawler,9,2/11/2020
lawler,max,andy,pratik,9,2/11/2020
pratik,andy,lawler,max,4,2/11/2020
andy,josh,pratik,max,4,2/12/2020
josh,andy,max,pratik,9,2/12/2020
river,paul,krish,max,9,2/12/2020
max,krish,river,paul,4,2/12/2020
josh,andy,river,krish,0,2/12/2020
andy,josh,krish,river,7,2/12/2020
andy,max,nate,river,3,2/12/2020
river,nate,max,andy,3,2/12/2020
andy,max,river,nate,7,2/12/2020
victor,river,josh,lawler,6,2/12/2020
lawler,josh,river,victor,8,2/12/2020
victor,river,lawler,josh,9,2/12/2020
josh,lawler,river,amir,8,2/13/2020
amir,river,lawler,josh,7,2/13/2020
josh,lawler,amir,river,3,2/13/2020
paul,krish,josh,max,5,2/13/2020
andy,krish,paul,pietro,4,2/13/2020
krish,andy,andonian,josh,3,2/13/2020
krish,river,paul,VOID,9,2/13/2020
VOID,paul,river,krish,7,2/13/2020
krish,river,VOID,paul,6,2/13/2020
river,river,victor,victor,3,2/13/2020
river,river,victor,victor,9,2/13/2020
river,river,victor,victor,8,2/13/2020
river,river,victor,victor,3,2/13/2020
river,river,victor,victor,5,2/13/2020
paul,river,pratik,max,9,2/13/2020
river,paul,max,pratik,9,2/13/2020
max,krish,paul,river,9,2/13/2020
river,paul,krish,max,9,2/13/2020
max,krish,river,paul,4,2/13/2020
andy,krish,nate,pietro,1,2/14/2020
river,krish,paul,lawler,9,2/14/2020
krish,river,lawler,paul,3,2/14/2020
nate,river,victor,andy,9,2/14/2020
andy,victor,river,nate,5,2/14/2020
andy,victor,nate,river,9,2/14/2020
amir,andy,max,pratik,6,2/14/2020
pratik,max,andy,amir,8,2/14/2020
amir,andy,pratik,max,4,2/14/2020
paul,paul,max,max,4,2/14/2020
max,max,paul,paul,4,2/14/2020
paul,river,max,krish,8,2/14/2020
krish,max,river,paul,8,2/14/2020
krish,max,paul,river,7,2/14/2020
river,river,max,max,5,2/15/2020
river,river,max,max,7,2/15/2020
river,river,max,max,7,2/15/2020
river,river,max,max,5,2/16/2020
river,river,max,max,5,2/16/2020
river,river,max,max,6,2/16/2020
river,river,max,max,4,2/16/2020
river,river,lawler,lawler,5,2/16/2020
andy,lawler,river,pietro,6,2/16/2020
lawler,lawler,river,river,6,2/16/2020
lawler,lawler,river,river,9,2/16/2020
andy,andy,victor,victor,0,2/17/2020
andy,andy,victor,victor,2,2/17/2020
river,river,victor,victor,2,2/17/2020
river,river,victor,victor,3,2/17/2020
andy,andy,river,river,5,2/17/2020
andy,andy,river,river,4,2/17/2020
river,river,victor,victor,6,2/17/2020
river,river,victor,victor,5,2/17/2020
monika,river,josh,kunal,7,2/18/2020
kunal,josh,river,monika,9,2/18/2020
kunal,josh,monika,river,2,2/18/2020
josh,river,andonian,lawler,7,2/18/2020
river,josh,lawler,andonian,2,2/18/2020
pratik,river,andonian,lawler,9,2/18/2020
josh,andy,max,amir,2,2/18/2020
andy,josh,amir,max,1,2/18/2020
andy,krish,max,pietro,1,2/18/2020
river,river,victor,victor,3,2/18/2020
river,river,victor,victor,3,2/18/2020
victor,river,krish,max,6,2/18/2020
max,krish,river,victor,4,2/18/2020
max,krish,victor,river,8,2/18/2020
victor,krish,max,river,9,2/18/2020
krish,victor,river,max,8,2/18/2020
river,river,krish,krish,9,2/18/2020
river,river,krish,krish,7,2/18/2020
lawler,river,paul,nate,9,2/18/2020
river,lawler,nate,paul,7,2/18/2020
paul,andy,lawler,nate,9,2/18/2020
andy,paul,nate,lawler,2,2/18/2020
andy,andy,krish,krish,7,2/19/2020
andy,krish,josh,pietro,4,2/19/2020
josh,nate,victor,andy,4,2/19/2020
nate,josh,andy,victor,8,2/19/2020
river,nate,victor,krish,3,2/19/2020
nate,river,krish,victor,6,2/19/2020
josh,lawler,amir,river,7,2/19/2020
river,amir,lawler,josh,7,2/19/2020
river,amir,josh,lawler,8,2/19/2020
max,max,lawler,lawler,9,2/19/2020
max,max,lawler,lawler,9,2/19/2020
river,max,claire,andy,8,2/19/2020
andy,claire,max,river,9,2/19/2020
river,max,andy,claire,6,2/19/2020
paul,nate,josh,monika,2,2/20/2020
nate,paul,monika,josh,7,2/20/2020
max,pratik,josh,amir,4,2/20/2020
pratik,max,amir,josh,6,2/20/2020
monika,andy,max,pratik,6,2/20/2020
pratik,max,andy,monika,9,2/20/2020
monika,andy,pratik,max,7,2/20/2020
andy,andy,max,max,2,2/20/2020
andy,andy,max,max,3,2/20/2020
river,nate,max,andy,9,2/20/2020
andy,max,nate,river,6,2/20/2020
river,nate,andy,max,8,2/20/2020
andy,krish,nate,pietro,6,2/21/2020
krish,sophie,paul,nate,4,2/21/2020
sophie,krish,nate,paul,3,2/21/2020
river,krish,victor,andy,7,2/21/2020
andy,victor,krish,river,7,2/21/2020
andy,victor,river,krish,5,2/21/2020
victor,river,andy,monika,3,2/21/2020
river,victor,monika,andy,6,2/21/2020
pratik,max,river,amir,7,2/21/2020
amir,river,max,pratik,7,2/21/2020
pratik,max,amir,river,9,2/21/2020
river,river,max,max,2,2/21/2020
river,river,max,max,8,2/21/2020
river,river,victor,victor,5,2/21/2020
river,river,victor,victor,5,2/21/2020
max,max,pratik,pratik,4,2/22/2020
max,max,pratik,pratik,6,2/22/2020
max,max,pratik,pratik,4,2/22/2020
river,river,victor,victor,2,2/22/2020
river,river,victor,victor,3,2/22/2020
river,river,victor,victor,2,2/22/2020
river,river,victor,victor,3,2/22/2020
river,monika,pratik,victor,7,2/22/2020
victor,pratik,monika,river,6,2/22/2020
victor,pratik,river,monika,9,2/22/2020
pratik,max,victor,river,7,2/22/2020
max,pratik,river,victor,5,2/22/2020
river,river,victor,victor,4,2/23/2020
river,river,victor,victor,3,2/23/2020
river,river,lawler,lawler,6,2/23/2020
river,river,lawler,lawler,5,2/23/2020
river,river,victor,victor,1,2/23/2020
river,river,victor,victor,2,2/23/2020
victor,andy,river,lawler,3,2/23/2020
lawler,river,andy,victor,9,2/23/2020
victor,andy,lawler,river,8,2/23/2020
pratik,lawler,josh,monika,3,2/24/2020
lawler,pratik,monika,josh,5,2/24/2020
josh,igor,pratik,river,9,2/24/2020
river,pratik,igor,josh,3,2/24/2020
river,pratik,josh,igor,4,2/24/2020
river,pratik,josh,max,6,2/24/2020
max,josh,pratik,river,8,2/24/2020
max,josh,river,pratik,9,2/24/2020
max,max,krish,krish,6,2/24/2020
krish,krish,max,max,5,2/24/2020
krish,krish,max,max,4,2/24/2020
josh,lawler,river,victor,8,2/24/2020
lawler,josh,victor,river,7,2/24/2020
river,river,victor,victor,7,2/24/2020
river,river,victor,victor,1,2/24/2020
river,river,victor,victor,1,2/24/2020
river,river,victor,victor,4,2/24/2020
monika,river,josh,pratik,7,2/25/2020
pratik,josh,river,monika,8,2/25/2020
pratik,josh,monika,river,5,2/25/2020
andy,max,andonian,krish,9,2/25/2020
max,andy,krish,andonian,3,2/25/2020
max,andy,andonian,krish,2,2/25/2020
river,andy,krish,nate,2,2/25/2020
andy,river,nate,krish,8,2/25/2020
river,josh,pratik,victor,5,2/25/2020
josh,river,victor,pratik,2,2/25/2020
amir,max,river,monika,9,2/25/2020
monika,river,max,amir,5,2/25/2020
monika,river,amir,max,4,2/25/2020
victor,lawler,river,monika,8,2/25/2020
lawler,victor,monika,river,8,2/25/2020
victor,andy,river,max,6,2/25/2020
andy,victor,max,river,9,2/25/2020
max,nate,monika,river,4,2/25/2020
river,river,nate,nate,5,2/25/2020
josh,pratik,monika,river,4,2/26/2020
pratik,josh,river,monika,0,2/26/2020
river,andy,max,krish,3,2/26/2020
krish,max,andy,river,9,2/26/2020
river,andy,krish,max,8,2/26/2020
krish,andy,max,pietro,1,2/26/2020
max,max,victor,victor,1,2/26/2020
max,max,lawler,lawler,9,2/26/2020
pratik,nate,monika,max,5,2/27/2020
nate,pratik,max,monika,3,2/27/2020
josh,lawler,paul,nate,8,2/27/2020
nate,paul,lawler,josh,9,2/27/2020
josh,lawler,nate,paul,5,2/27/2020
river,josh,krish,max,8,2/27/2020
josh,river,max,krish,6,2/27/2020
josh,krish,river,max,2,2/27/2020
max,river,krish,josh,6,2/27/2020
river,max,josh,krish,5,2/27/2020
river,krish,josh,lawler,3,2/27/2020
krish,river,lawler,josh,6,2/27/2020
river,max,lawler,josh,9,2/27/2020
max,river,josh,lawler,4,2/27/2020
river,andy,monika,krish,1,2/28/2020
andy,river,krish,monika,1,2/28/2020
krish,river,andy,monika,8,2/28/2020
monika,andy,river,krish,9,2/28/2020
monika,andy,krish,river,6,2/28/2020
andy,krish,river,pietro,3,2/28/2020
lawler,amir,pratik,max,6,2/28/2020
amir,lawler,max,pratik,3,2/28/2020
pratik,andy,lawler,max,2,2/28/2020
max,lawler,andy,pratik,9,2/28/2020
max,lawler,pratik,andy,7,2/28/2020
lawler,lawler,river,river,9,2/28/2020
river,river,lawler,lawler,6,2/28/2020
river,river,lawler,lawler,7,2/28/2020
river,river,victor,victor,2,2/28/2020
river,river,victor,victor,5,2/28/2020
river,river,victor,victor,1,3/1/2020
river,river,victor,victor,3,3/1/2020
max,pratik,victor,river,9,3/1/2020
pratik,max,river,victor,8,3/1/2020
pratik,max,river,claire,8,3/1/2020
max,pratik,claire,river,9,3/1/2020
river,claire,max,pratik,9,3/1/2020
claire,river,pratik,max,6,3/1/2020
max,max,pratik,pratik,2,3/1/2020
max,max,pratik,pratik,3,3/1/2020
monika,andy,pratik,max,7,3/2/2020
max,pratik,andy,monika,4,3/2/2020
monika,andy,max,pratik,5,3/2/2020
andy,krish,josh,river,7,3/2/2020
river,josh,krish,andy,6,3/2/2020
andy,krish,river,josh,6,3/2/2020
victor,victor,river,river,9,3/2/2020
river,max,pratik,victor,6,3/2/2020
max,river,victor,pratik,6,3/2/2020
river,river,victor,victor,3,3/2/2020
river,river,victor,victor,0,3/2/2020
river,andy,josh,max,1,3/2/2020
andy,river,max,josh,6,3/2/2020
river,max,josh,andy,8,3/2/2020
andy,josh,max,river,8,3/2/2020
river,max,andy,josh,5,3/2/2020
andy,andy,max,max,7,3/2/2020
andy,andy,max,max,4,3/2/2020
river,river,victor,victor,3,3/2/2020
river,river,victor,victor,4,3/3/2020
kunal,josh,pratik,river,8,3/3/2020
river,pratik,josh,kunal,2,3/3/2020
river,pratik,kunal,josh,5,3/3/2020
josh,pratik,monika,river,4,3/3/2020
andy,max,krish,pietro,7,3/3/2020
river,andy,max,krish,2,3/3/2020
andonian,andy,krish,max,5,3/3/2020
andonian,andy,max,krish,2,3/3/2020
lawler,lawler,max,max,7,3/3/2020
max,max,lawler,lawler,8,3/3/2020
max,max,lawler,lawler,9,3/3/2020
obed,river,victor,monika,2,3/4/2020
river,obed,monika,victor,2,3/4/2020
andy,amir,pratik,max,8,3/4/2020
amir,andy,max,pratik,2,3/4/2020
andy,nate,river,paul,7,3/4/2020
nate,andy,paul,river,8,3/4/2020
andy,max,nate,river,4,3/4/2020
